Location,Date,Time,CO2,CO,Smoke
Panvel,Friday,23,1267,135,100
Thane,Saturday,0,1122,135,88
Ulhas,Saturday,1,986,135,67
Thane,Saturday,2,966,135,65
Khar,Saturday,3,919,135,0
Chembur,Saturday,4,872,135,47
Thane,Saturday,5,967,135,57
Thane,Saturday,6,1152,135,73
Thane,Saturday,7,1500,135,95
Turbhe,Saturday,8,1754,135,110
Thane,Saturday,9,1558,135,121
Khar,Saturday,10,1446,135,108
Thane,Saturday,11,1349,135,125
Khar,Saturday,12,1452,135,117
Chembur,Saturday,13,1676,135,131
Chembur,Saturday,14,1327,135,126
Turbhe,Saturday,15,1248,135,114
Kurla,Saturday,16,1250,135,123
Thane,Saturday,17,1222,135,116
Kurla,Saturday,18,1159,135,107
Panvel,Saturday,19,1192,135,123
Turbhe,Saturday,20,1074,135,112
Chembur,Saturday,21,984,135,101
Kurla,Saturday,22,970,135,91
Ulhas,Saturday,23,987,135,88
Ulhas,Sunday,0,1003,135,96
Panvel,Sunday,1,933,135,75
Khar,Sunday,2,859,135,47
Kurla,Sunday,3,815,135,0
Ulhas,Sunday,4,792,135,25
Kurla,Sunday,5,835,135,49
Khar,Sunday,6,975,135,85
Kurla,Sunday,7,1133,135,106
Kurla,Sunday,8,1347,135,136
Ulhas,Sunday,9,1122,135,119
Khar,Sunday,10,1152,135,122
Ulhas,Sunday,11,1020,135,90
Chembur,Sunday,12,1066,135,97
Ulhas,Sunday,13,1105,135,98
Turbhe,Sunday,14,1056,135,93
Turbhe,Sunday,15,1084,135,98
Khar,Sunday,16,1288,135,123
Vashi,Sunday,17,1390,135,148
Thane,Sunday,18,1374,135,148
Ulhas,Sunday,19,1378,135,133
Kurla,Sunday,20,1428,135,141
Khar,Sunday,21,1336,135,131
Panvel,Sunday,22,1234,135,121
Vashi,Sunday,23,1300,135,123
Kurla,Monday,0,1246,135,107
Panvel,Monday,1,1141,135,104
Ulhas,Monday,2,1014,135,91
Thane,Monday,3,938,135,0
Turbhe,Monday,4,988,135,87
Ulhas,Monday,5,983,135,102
Turbhe,Monday,6,1033,135,95
Vashi,Monday,7,1388,135,140
Turbhe,Monday,8,1512,135,0
Khar,Monday,9,1148,135,138
Vashi,Monday,10,1095,135,113
Chembur,Monday,11,987,135,101
Turbhe,Monday,12,984,135,97
Vashi,Monday,13,1072,135,114
Khar,Monday,14,1048,135,110
Panvel,Monday,15,1042,135,103
Turbhe,Monday,16,1113,135,119
Kurla,Monday,17,1146,135,126
Thane,Monday,18,1239,135,144
Kurla,Monday,19,1302,135,164
Chembur,Monday,20,1181,135,148
Khar,Monday,21,1068,135,119
Turbhe,Monday,22,1135,135,111
Panvel,Monday,23,1121,135,115
